Criterion,Intent
Ability and willingness to adhere to the study visit schedule and all protocol requirements,able-to-comply
Ability and willingness to comply with the requirements of the study protocol,able-to-comply
"Ability and willingness to comply with the requirements of the study protocol. When it is determined by the study investigator that a potential research participant is cognitively impaired, a surrogate consent from a caregiver or legally-authorized representative will be obtained. Caregiver or legally-authorized representative will ensure that they comply with the protocol in order for the subject to be considered eligible.",able-to-comply
"Ability and willingness to comply with the study protocol procedures, including PRO measures.",able-to-comply
Ability to adhere to the study visit schedule and other protocol requirements,able-to-comply
Ability to complete questionnaires by themselves or with assistance.,able-to-comply
"Ability to comply with study visits, treatment, procedures, PK and PD sample collection, and required study follow-up.",able-to-comply
"Ability to comply with study visits, treatment, procedures, PK and pharmacodynamic sample collection, and required study follow-up.",able-to-comply
Ability to comply with the protocol.,able-to-comply
Ability to comply with the treatment schedule,able-to-comply
"Ability to comply with the treatment, evaluations and required study follow-up.",able-to-comply
"Ability to comply with treatment, PK and test schedules",able-to-comply
Ability to follow protocol procedures.,able-to-comply
Ability to tolerate sedation and or general anesthesia if required.,able-to-comply
Ability to tolerate thin liquids by mouth at the time of enrollment.,able-to-comply
Ability to understand and follow the breathing instructions involved in the respiratory gating procedure or to tolerate compression sufficient to reduce fiducial motion to <= 5mm.,able-to-comply
Able and willing to complete the entire study,able-to-comply
Able and willing to complete the entire study according to the study schedule.,able-to-comply
Able to adhere to the study visit schedule and other protocol requirements.,able-to-comply
Able to comply with protocol requirements and follow-up procedures.,able-to-comply
Able to comply with study procedures,able-to-comply
Able to comply with study requirements,able-to-comply
"Able to comply with the study protocol and procedures, in the investigator&rsquo;s judgment.",able-to-comply
Able to comply with the treatment schedule.,able-to-comply
"able to tolerate a confined area (ie, not claustrophobic)",able-to-comply
Able to tolerate a ultrasound guided biopsy,able-to-comply
Able to tolerate apheresis,able-to-comply
"Able to tolerate apheresis, including placement of temporary apheresis line if required",able-to-comply
Able to tolerate daily supplementation of calcium and vitamin D,able-to-comply
Able to tolerate feeds either orally or via tube gastrostomy or enterostomy.,able-to-comply
Able to tolerate general or spinal anesthesia.,able-to-comply
Able to tolerate HFRT (e.g. lie flat and hold position for treatment),able-to-comply
Able to tolerate PET/MRI with intravenous contrast administration and must complete the applicable MRI screening evaluation form,able-to-comply
"Able to tolerate the conditions required to perform imaging studies (e.g., lying flat for at least 1 hour).",able-to-comply
Able to tolerate the supine position as required for the radiation treatment unit and able to tolerate rotation needed for treatment delivery,able-to-comply
"Any medical condition, which would make the imaging studies unsafe or poorly tolerated",able-to-comply
"Any uncontrolled significant medical, psychiatric or surgical condition (active infection, unstable angina pectoris, cardiac arrhythmia, poorly controlled hypertension, poorly controlled diabetes mellitus [HbA1c >= 9%], uncontrolled congestive heart disease, etc.) or laboratory findings that, in the opinion of the investigator, might jeopardize the patient's safety or that would limit compliance with the objectives and assessments of the study. Note: the patient should be able to tolerate high volume load.",able-to-comply
Are able and willing to make themselves available for the duration of the study and are willing to follow study procedures.,able-to-comply
Are able to comply with the requirements of the entire study,able-to-comply
Are physically unable to tolerate flexible bronchoscopy or moderate sedation as determined by the bronchoscopist,able-to-comply
Are reliable and willing to make themselves available for the duration of the study and are willing to follow study procedures.,able-to-comply
Are unwilling or unable to comply with procedures required in this protocol,able-to-comply
Are unwilling or unable to comply with procedures required in this protocol.,able-to-comply
"Are unwilling or unable to participate in, or do not have adequate tissue for participation in the genetic and biomarker portion of the study.",able-to-comply
Are willing or able to comply with procedures required in this protocol.,able-to-comply
"As determined by the enrolling physician or protocol designee, ability of the subject to understand and comply with study procedures for the entire length of the study.",able-to-comply
"As determined by the enrolling physician or protocol designee, willingness and ability of the subject to understand and comply with study procedures",able-to-comply
"As determined by the enrolling physician, ability of the subject to understand and comply with study procedures for the entire length of the study.",able-to-comply
Assessed by the Investigator to be unable or unwilling to comply with the requirements of the protocol.,able-to-comply
"Be able to comply with all study-related procedures, medication use, and evaluations",able-to-comply
Be able to comply with the requirements of the entire study.,able-to-comply
Can tolerate 18F-fluciclovine PET/CT exam (can lie on her back for the duration of the scan).,able-to-comply
"Capable of understanding the investigative nature, potential risks, and benefits of the study.",able-to-comply
Clinically significant psychiatric illness/social situations thatwould limit compliance with study requirements.,able-to-comply
"Contraindication to or inability to tolerate MRI with endorectal coil (e.g. severe claustrophobia, presence of cardiac pacemaker, aneurysm clip, severe or painful hemorrhoids, rectal stricture)",able-to-comply
Contraindication to or inability to tolerate MRIs,able-to-comply
Donor must be willing and able to undergo PBSC collection.,able-to-comply
Expected non-compliance.,able-to-comply
"Has a primary informal caregiver (as defined by an unpaid individual who provides the patient with emotional, physical, and/or practical support) who is willing and able to participate in the study",able-to-comply
Has insurance coverage or is willing to pay for protocol therapy (rituximab x 4 or Zevalin x 1),able-to-comply
Have access or willing to set up access to Duke MyChart.,able-to-comply
Have voluntarily agreed to provide written informed consent and demonstrated willingness and ability to comply with all aspects of the protocol.,able-to-comply
If the patient's treatment visit schedule is too infrequent to meet the study visit timeline requirements,able-to-comply
"In the investigator's opinion, the patient has the ability to communicate satisfactorily with the investigator and the study team, to participate fully in the study, and comply with all requirements.",able-to-comply
"In the opinion of the investigator, may not be able to comply with all study procedures (including compliance issues related to feasibility/logistics)",able-to-comply
